Date,Total_Cases,Total_Death,Guinea_Cases,Guinea_Death,SierraLeone_Cases,SierraLeone_Death,Liberia_Cases,Liberia_Death,Nigeria_Cases,Nigeria_Death,Comment,guinea_cases,guinea_deaths
13-Apr-16,49,29,49,29,,,,,,,,3814,2544
30-Mar-16,86,59,86,59,,,,,,,,3811,2543
23-Mar-16,86,60,86,60,,,,,,,,3809,2540
3-Mar-16,86,62,86,62,,,,,,,,3804,2536
17-Feb-16,103,66,103,66,,,,,,,,3804,2536
10-Feb-16,112,70,112,70,,,,,,,,3804,2536
3-Feb-16,122,80,122,80,,,,,,,,3804,2536
27-Jan-16,127,83,127,83,,,,,,,,3804,2536
20-Jan-16,143,86,143,86,,,,,,,,3804,2536
13-Jan-16,151,95,151,95,,,,,,,,3804,2536
6-Jan-16,158,101,158,101,,,,,,,,3804,2536
30-Dec-15,159,106,159,106,,,,,,,,3804,2536
29-Dec-15,168,108,168,108,,,,,,,,3804,2536
28-Dec-15,197,122,197,122,,,,,,,,3804,2536
25-Dec-15,203,129,203,129,,,,,,,,3805,2536
24-Dec-15,208,136,208,136,,,,,,,,3804,2536
23-Dec-15,218,141,218,141,,,,,,,,3804,2536
22-Dec-15,226,149,226,149,,,,,,,,3804,2536
21-Dec-15,231,155,231,155,,,,,,,,3804,2536
18-Dec-15,235,157,235,157,,,,,,,,3804,2536
17-Dec-15,236,158,236,158,,,,,,,,3805,2536
16-Dec-15,233,157,233,157,,,,,,,,3807,2536
15-Dec-15,248,171,248,171,,,,,,,,3807,2536
14-Dec-15,253,176,253,176,,,,,,,,3806,2536
11-Dec-15,258,174,258,174,,,,,,,,3804,2536
10-Dec-15,297,191,281,186,16,5,,,,,First confirmed cases in Sierra Leone,3804,2536
9-Dec-15,,,291,193,,,,,,,,3804,2536
8-Dec-15,,,,,50,6,,,,,,3804,2536
7-Dec-15,407,214,328,208,79,6,,,,,,3804,2536
4-Dec-15,,,344,215,,,,,,,,3805,2536
3-Dec-15,,,351,226,81,6,,,,,,3805,2536
2-Dec-15,,,,,89,7,,,,,,3804,2536
1-Dec-15,489,309,394,263,95,46,,,,,,3804,2536
30-Nov-15,,,398,264,,,33,24,,,First new cases in Liberia since 6 April,3804,2536
27-Nov-15,,,,,97,49,,,,,,3804,2536
26-Nov-15,,,390,270,158,34,,,,,,3804,2536
25-Nov-15,,,,,,,51,34,,,,3804,2536
24-Nov-15,759,467,413,303,239,99,107,65,,,,3804,2536
23-Nov-15,779,481,412,305,252,101,115,75,,,,3804,2536
20-Nov-15,844,518,408,307,305,127,131,84,,,,3804,2536
19-Nov-15,888,539,409,309,337,142,142,88,,,,3806,2536
18-Nov-15,964,603,406,304,386,194,172,105,,,,3804,2536
17-Nov-15,982,613,411,310,397,197,174,106,,,,3404,2536
16-Nov-15,1048,632,410,310,442,206,196,116,,,,3805,2536
12-Nov-15,1094,660,415,314,454,219,224,127,1,0,Arrival of index patient in Nigeria,3805,2536
10-Nov-15,1201,672,427,319,525,224,249,129,,,,3805,2536
9-Nov-15,1323,729,460,339,533,233,329,156,1,1,,3806,2536
6-Nov-15,1440,826,472,346,574,252,391,227,3,1,,3805,2536
5-Nov-15,1603,887,485,358,646,273,468,255,4,1,,3805,2536
3-Nov-15,1711,932,495,363,691,286,516,282,9,1,,3810,2536
2-Nov-15,1779,961,495,367,717,298,554,294,13,2,,3808,2536
30-Oct-15,1848,1013,506,373,730,315,599,323,13,2,,3808,2536
29-Oct-15,1975,1069,510,377,783,334,670,355,12,3,,3808,2536
27-Oct-15,2127,1145,519,380,810,348,786,413,12,4,,3806,2535
26-Oct-15,,,,,,,834,466,,,,3804,2535
23-Oct-15,,,543,394,848,365,,,15,4,,3801,2535
22-Oct-15,2473,1350,579,396,907,374,972,576,15,4,,3801,2535
20-Oct-15,2615,1427,607,406,910,392,1082,624,16,5,,3803,2535
19-Oct-15,,,,,,,,,,,,3806,2535
16-Oct-15,,,,,,,,,,,,3804,2535
15-Oct-15,,,,,,,,,,,,3802,2534
13-Oct-15,,,,,,,,,,,,3800,2534
12-Oct-15,,,,,,,,,,,,3798,2534
9-Oct-15,,,,,,,,,,,,3800,2534
8-Oct-15,,,,,,,,,,,,3799,2534
7-Oct-15,,,,,,,,,,,,3804,2534
5-Oct-15,,,,,,,,,,,,3804,2534
2-Oct-15,,,,,,,,,,,,3809,2533
1-Oct-15,,,,,,,,,,,,3808,2533
29-Sep-15,,,,,,,,,,,,3805,2533
28-Sep-15,,,,,,,,,,,,3805,2533
24-Sep-15,,,,,,,,,,,,3801,2533
22-Sep-15,,,,,,,,,,,,3800,2532
21-Sep-15,,,,,,,,,,,,3797,2532
18-Sep-15,,,,,,,,,,,,3794,2531
17-Sep-15,,,,,,,,,,,,3794,2530
15-Sep-15,,,,,,,,,,,,3792,2530
14-Sep-15,,,,,,,,,,,,3793,2530
11-Sep-15,,,,,,,,,,,,3791,2530
10-Sep-15,,,,,,,,,,,,3791,2530
8-Sep-15,,,,,,,,,,,,3792,2530
4-Sep-15,,,,,,,,,,,,3792,2529
3-Sep-15,,,,,,,,,,,,3792,2529
1-Sep-15,,,,,,,,,,,,3792,2529
31-Aug-15,,,,,,,,,,,,3790,2528
28-Aug-15,,,,,,,,,,,,3797,2528
27-Aug-15,,,,,,,,,,,,3797,2528
25-Aug-15,,,,,,,,,,,,3792,2527
24-Aug-15,,,,,,,,,,,,3790,2527
21-Aug-15,,,,,,,,,,,,3795,2526
20-Aug-15,,,,,,,,,,,,3792,2526
18-Aug-15,,,,,,,,,,,,3786,2524
17-Aug-15,,,,,,,,,,,,3790,2524
14-Aug-15,,,,,,,,,,,,3791,2524
13-Aug-15,,,,,,,,,,,,3792,2524
11-Aug-15,,,,,,,,,,,,3787,2524
10-Aug-15,,,,,,,,,,,,3791,2524
7-Aug-15,,,,,,,,,,,,3795,2524
6-Aug-15,,,,,,,,,,,,3792,2524
